participant_id	session_id	eeg_made_task-VEP_acq-eeg_preprocessingReport_task	eeg_made_task-VEP_acq-eeg_preprocessingReport_line_noise	eeg_made_task-VEP_acq-eeg_preprocessingReport_reference_for_faster	eeg_made_task-VEP_acq-eeg_preprocessingReport_faster_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_ica_prep_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_length_ica_data	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_ICs	eeg_made_task-VEP_acq-eeg_preprocessingReport_ICs_removed	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_pre_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_post_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpInv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Inv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Obj	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpObj	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Standard	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_PreDev	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Dev	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_channels_interp	eeg_made_task-VEP_acq-eeg_preprocessingReport_avg_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_std_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_range_chan_interp_artifact_rej
298523	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
410701	V03	VEP	0.7051463	Cz	"E37 E50 E55"	0	1223	101	"4   6   9  11  15  17  18  19  20  22  25  27  29  39  40  42  45  53  60  72  79"	120	119	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.09243697478992	1.42014320499345	6
645664	V03	VEP	0.9796811	Cz	"E6 E13 E29"	0	890	101	"2  17  19  20  21  35  46  49  54  56  58  59  60  62  71  79  80  83  85"	120	80	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	3.625	2.7713498059313	10
897527	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
719200	V03	VEP	0.9886981	Cz	"E55 E62 E78"	0	750	101	"15  20  21  32  68  91  93  96"	120	98	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.36734693877551	2.24934242442322	9
548802	V03	VEP	0.9988838	Cz	"E37 E83"	0	1226	102	"6  12  23  28  30  37  43  44  50  56  60  66  72  97"	120	41	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	3.75609756097561	2.70906337877945	10
865345	V03	VEP	0.2804314	Cz	"E33 E39 E45"	0	1208	101	"2    4    5    6   10   13   15   16   18   19   20   34   38   41   48   57   62   73   74   79   87   90  101"	120	83	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.08433734939759	1.96434572535233	10
888706	V03	VEP	0.5785694	Cz	E45	0	1274	103	"5   6  10  14  17  23  24  28  31  36  45  46  48  60  64  65  66  69  71  84"	120	90	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2.35555555555556	2.66610480972325	10
729341	V03	VEP	0.2003979	Cz	"E2 E18 E57 E64 E101 E102"	0	867	98	22	120	74	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	0.189189189189189	0.540818144191747	3
791024	V03	VEP	0.05210221	Cz	"E25 E32"	0	1283	102	"3   5   8   9  12  18  19  22  27  29  31  32  34  38  41  44  48  50  51  61  62  70  73  75  78  79  82  83  89  97"	120	109	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0.376146788990826	1.10377291365577	9
707696	V03	VEP	0.9947898	Cz	"E9 E14 E32 E118"	0	1241	100	"5  39  45  68  78  85"	120	88	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.92045454545455	2.33031787535713	9
478219	V03	VEP	0.9590423	Cz	"E2 E7 E23 E29 E54 E83 E91"	0	1177	97	"6   7   9  12  14  16  21  22  23  25  31  35  38  40  42  43  45  50  59  64  67  68"	120	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	0.813725490196078	1.29531059891466	9
626805	V03	VEP	0.9643301	Cz	"E52 E96"	0	1260	102	"6  15  27  28  41  45  49  77  80  82"	120	81	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0.814814814814815	1.96920739836559	9
780192	V03	VEP	0.9750574	Cz	"E84 E89 E92"	0	1485	101	"2   3  12  13  15  18  20  25  27  28  33  37  41  42  43  44  50  52  54  56  57  60  61  66  67  69  73  77  81  82  83"	120	108	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.268518518518519	0.678184512724022	3
287950	V03	VEP	0.9913366	Cz	"E5 E9 E21"	0	1595	101	"3   4  11  18  19  20  24  26  30  31  32  33  35  37  42  44  63  90  91"	120	119	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.756302521008403	1.51247012327753	10
